"","x"
"1180","Fbxl18"
"1181","Zc3hc1"
"1182","Mark4"
"1183","Wdr62"
"1184","Tubgcp5"
"1185","Lrrk1"
"1186","Prc1"
"1187","Gdpd5"
"1188","Insc"
"1189","Dcun1d3"
"1190","Pcid2"
"1191","Arhgef10"
"1192","Ccdc124"
"1193","Nae1"
"1194","Txnl4b"
"1195","Rfwd3"
"1196","Chmp1a"
"1197","Kank2"
"1198","Sept7"
"1199","Usp28"
"1200","Snx33"
"1201","Usp3"
"1202","Topbp1"
"1203","Parp3"
"1204","Setd2"
"1205","Dync1li1"
"1206","Phgdh"
"1207","Ercc6l"
"1208","Zc3h12d"
"1209","Atad5"
"1210","Brip1"
"1211","Vash1"
"1212","Tubal3"
"1213","Setdb2"
"1214","Lmln"
"1215","Mdc1"
"1216","Ythdc2"
"1217","Kif20b"
"1218","Ccnj"
"1219","Mcmdc2"
"1220","Exd1"
"1221","Wdr76"
"1222","Klhl9"
"1223","E2f2"
"1224","Klhl21"
"1225","Stard13"
"1226","Mcph1"
"1227","Npat"
"1228","Atr"
"1229","Rttn"
"1230","AY074887"
"1231","Cables2"
"1232","Tubgcp3"
"1233","Rps15a"
"1234","Rab11fip4"
"1235","Eme1"
"1236","Ccnb1"
"1237","Fam107a"
"1238","Pkmyt1"
"1239","Rtel1"
"1240","Vcp"
"1241","Clspn"
"1242","Ppp2r2c"
"1243","Taf1"
"1244","Prr11"
"1245","Marveld1"
"1246","C2cd3"
"1247","Ifnz"
"1248","Rpl17"
"1249","Syne2"
"1250","Lig4"
"1251","Usp37"
"1252","Taf2"
"1253","Tacc1"
"1254","Ddx11"
"1255","Senp5"
"1256","Cenpt"
"1257","Phf8"
"1258","Dna2"
"1259","Usp44"
"1260","Ep300"
"1261","Tubgcp6"
"1262","Hecw2"
"1263","Tmem67"
"1264","Hfm1"
"1265","Taok3"
"1266","Cntln"
"1267","Txlng"
"1268","Zfp703"
"1269","Heca"
"1270","Lemd3"
"1271","Gm960"
"1272","Hjurp"
"1273","Atp2b4"
"1274","Kif14"
"1275","Nsl1"
"1276","Cep135"
"1277","Taok2"
"1278","Ccdc155"
"1279","Nsfl1c"
"1280","Iqgap3"
"1281","Whamm"
"1282","Ccdc36"
"1283","Xlr4a"
"1284","Acd"
"1285","Ptpn3"
"1286","Gm5934"
"1287","Xlr3b"
"1288","Xlr5b"
"1289","Syce1l"
"1290","Gm2030"
"1291","Prdm11"
"1292","Gm4297"
"1293","Kifc1"
